CarrierReference,ConnectDateTime,Duration,SourceNumber,DestinationNumber,Direction
55683887762,10/02/2023 21:07,90,61385928844,61438542232,OUTBOUND
55683887767,10/02/2023 21:08,128,61288555349,61819333911,OUTBOUND
55683887773,10/02/2023 21:12,134,61288555348,61770554806,OUTBOUND
55683887782,10/02/2023 21:14,87,61288555346,61716307395,OUTBOUND
55683887784,10/02/2023 21:17,77,61395554324,64657875447,OUTBOUND
55683887793,10/02/2023 21:18,21,61395554321,61378948481,OUTBOUND
55683887802,10/02/2023 21:19,153,64359883917,61385928842,INBOUND
55683887806,10/02/2023 21:22,10,64550858527,61288555349,INBOUND
55683887811,10/02/2023 21:26,52,64318910380,61288555348,INBOUND
55683887816,10/02/2023 21:27,90,61288555350,61306589123,OUTBOUND
55683887825,10/02/2023 21:32,53,64732801506,61899226709,INBOUND
55683887835,10/02/2023 21:34,118,61385928842,61428824625,OUTBOUND
55683887840,10/02/2023 21:35,105,61288555350,64701109505,OUTBOUND
55683887845,10/02/2023 21:37,180,61281352930,61395554323,INBOUND
55683887853,10/02/2023 21:42,139,61288555350,61856667669,OUTBOUND
55683887858,10/02/2023 21:44,74,61801855142,61899226706,INBOUND
55683887864,10/02/2023 21:46,35,61395554321,64403331085,OUTBOUND
55683887870,10/02/2023 21:46,137,61899226706,64321810593,OUTBOUND
55683887878,10/02/2023 21:49,181,61385928843,61769375353,OUTBOUND
55683887884,10/02/2023 21:52,75,61385928840,61273637874,OUTBOUND
55683887891,10/02/2023 21:56,68,61385928844,61808084220,OUTBOUND
55683887894,10/02/2023 21:59,170,61385928843,64715008850,OUTBOUND
55683887904,10/02/2023 22:04,175,61395554320,64570597470,OUTBOUND
55683887907,10/02/2023 22:09,51,61385928840,61332827266,OUTBOUND
55683887915,10/02/2023 22:10,176,64565733479,61385928843,INBOUND
55683887919,10/02/2023 22:11,63,61385928841,64617181278,OUTBOUND
55683887922,10/02/2023 22:14,171,61288555350,61423401289,OUTBOUND
55683887926,10/02/2023 22:17,121,61395554321,64773554393,OUTBOUND
55683887929,10/02/2023 22:20,103,61899226707,61363296200,OUTBOUND
55683887934,10/02/2023 22:22,172,61288555350,61342131036,OUTBOUND
55683887941,10/02/2023 22:26,164,64701109505,61899226710,INBOUND
55683887949,10/02/2023 22:30,140,61395554321,64394428715,OUTBOUND
55683887954,10/02/2023 22:35,55,61385928843,61765581442,OUTBOUND
55683887960,10/02/2023 22:37,157,64570597470,61395554320,INBOUND
55683887962,10/02/2023 22:38,95,61395554321,64533488900,OUTBOUND
55683887968,10/02/2023 22:41,86,61385928842,61850519538,OUTBOUND
55683887977,10/02/2023 22:46,24,64526581680,61899226706,INBOUND
55683887986,10/02/2023 22:50,124,61395554324,61749321367,OUTBOUND
55683887989,10/02/2023 22:55,103,61395554324,64782654038,OUTBOUND
55683887998,10/02/2023 22:56,83,61385928844,64432251128,OUTBOUND
55683888006,10/02/2023 23:01,68,61288555349,64545477777,OUTBOUND
55683888009,10/02/2023 23:04,90,61473674041,61385928841,INBOUND
55683888013,10/02/2023 23:04,122,61742501480,61899226706,INBOUND
55683888016,10/02/2023 23:08,22,61395554321,61353298494,OUTBOUND
55683888018,10/02/2023 23:08,84,61899226707,61264174265,OUTBOUND
55683888022,10/02/2023 23:09,96,61288555350,64615704231,OUTBOUND
55683888026,10/02/2023 23:11,133,61899226707,61806897336,OUTBOUND
55683888028,10/02/2023 23:15,26,61288555348,61849891402,OUTBOUND
55683888036,10/02/2023 23:19,171,61385928844,64691835486,OUTBOUND
55683888038,10/02/2023 23:22,164,61385928841,61363296200,OUTBOUND
55683888043,10/02/2023 23:26,177,61385928842,61749321367,OUTBOUND
55683888049,10/02/2023 23:28,32,61899226707,64432251128,OUTBOUND
55683888054,10/02/2023 23:32,116,61837003397,61288555348,INBOUND
55683888064,10/02/2023 23:35,167,61395554320,64526581680,OUTBOUND
55683888073,10/02/2023 23:38,189,64475182755,61288555346,INBOUND
55683888075,10/02/2023 23:39,104,61899226707,64394428715,OUTBOUND
55683888083,10/02/2023 23:43,31,61385928841,64771770747,OUTBOUND
55683888091,10/02/2023 23:46,25,61861110592,61899226706,INBOUND
55683888093,10/02/2023 23:47,75,61395554324,61771509317,OUTBOUND
55683888103,10/02/2023 23:49,178,61899226707,64769799491,OUTBOUND
55683888113,10/02/2023 23:54,169,61385928843,61829772228,OUTBOUND
55683888123,10/02/2023 23:55,131,61395554323,64321810593,OUTBOUND
55683888129,10/02/2023 23:57,146,61732099448,61385928844,INBOUND
55683888134,11/02/2023 0:00,82,64689464354,61899226708,INBOUND
55683888144,11/02/2023 0:01,82,61385928843,61872055002,OUTBOUND
55683888154,11/02/2023 0:05,168,61288555350,61473039887,OUTBOUND
55683888164,11/02/2023 0:07,97,61899226707,61438542232,OUTBOUND
55683888169,11/02/2023 0:12,209,64342540456,61385928841,INBOUND
55683888178,11/02/2023 0:12,168,61395554321,64356962375,OUTBOUND
55683888180,11/02/2023 0:14,153,61899226707,61436769117,OUTBOUND
55683888183,11/02/2023 0:17,184,61742170809,61288555348,INBOUND
55683888186,11/02/2023 0:17,105,61395554322,61414537598,OUTBOUND
55683888191,11/02/2023 0:17,186,61395554324,64436536046,OUTBOUND
55683888196,11/02/2023 0:20,112,61288555347,61308725739,OUTBOUND
55683888201,11/02/2023 0:21,151,61288555349,64356962375,OUTBOUND
55683888211,11/02/2023 0:21,125,61850519538,61899226709,INBOUND
55683888218,11/02/2023 0:21,50,64533488900,61899226709,INBOUND
55683888223,11/02/2023 0:22,160,64444747865,61395554322,INBOUND
55683888225,11/02/2023 0:24,79,61385928840,61716651767,OUTBOUND
55683888235,11/02/2023 0:24,72,61385928843,64732801506,OUTBOUND
55683888244,11/02/2023 0:28,85,61899226709,61744629801,OUTBOUND
55683888254,11/02/2023 0:30,191,61288555350,61435735429,OUTBOUND
55683888261,11/02/2023 0:32,101,64629183936,61288555348,INBOUND
55683888266,11/02/2023 0:35,187,61446010036,61288555348,INBOUND
55683888275,11/02/2023 0:39,75,61288555346,61750869243,OUTBOUND
55683888285,11/02/2023 0:41,70,61755584283,61395554323,INBOUND
55683888288,11/02/2023 0:42,166,64617181278,61395554324,INBOUND
55683888293,11/02/2023 0:45,60,61395554320,64701109505,OUTBOUND
55683888302,11/02/2023 0:45,97,61385928840,61365165883,OUTBOUND
55683888307,11/02/2023 0:48,161,61385928843,64550858527,OUTBOUND
55683888314,11/02/2023 0:53,36,61395554321,61351088467,OUTBOUND
55683888319,11/02/2023 0:57,65,61288555350,61816704467,OUTBOUND
55683888329,11/02/2023 1:00,156,61288555350,61260741259,OUTBOUND
55683888331,11/02/2023 1:04,71,61395554323,64855981662,OUTBOUND
55683888334,11/02/2023 1:07,206,61288555348,61365165883,OUTBOUND
55683888343,11/02/2023 1:10,69,61385928844,61319980611,OUTBOUND
55683888348,11/02/2023 1:15,54,61395554320,64504254524,OUTBOUND
55683888355,11/02/2023 1:18,51,61395554324,61806897336,OUTBOUND
55683888357,11/02/2023 1:18,95,61385928841,64773554393,OUTBOUND
55683888364,11/02/2023 1:20,68,61899226709,61755584283,OUTBOUND
55683888369,11/02/2023 1:25,180,61395554322,64444885231,OUTBOUND
55683888378,11/02/2023 1:29,158,64732801506,61899226710,INBOUND
55683888382,11/02/2023 1:29,4,61288555346,61769375353,OUTBOUND
55683888386,11/02/2023 1:30,194,61879595746,61899226706,INBOUND
55683888391,11/02/2023 1:34,91,64733778708,61288555348,INBOUND
55683888397,11/02/2023 1:38,35,61861516207,61385928843,INBOUND
55683888407,11/02/2023 1:41,165,61414276523,61899226708,INBOUND
55683888415,11/02/2023 1:45,33,61395554323,61472961376,OUTBOUND
55683888420,11/02/2023 1:47,185,61899226709,61749522658,OUTBOUND
55683888426,11/02/2023 1:49,98,61288555347,61855359323,OUTBOUND
